x,y,z,intensity
0.17404,1.2957,-0.77534,33
0.18662,1.3894,-0.78766,21
0.19794,1.4737,-0.79059,22
0.2077,1.5464,-0.78369,20
0.23463,1.7468,-0.83427,26
0.2532,1.8851,-0.84683,26
0.27859,2.0741,-0.87414,22
0.30356,2.26,-0.89043,24
0.33375,2.4848,-0.91251,19
0.36321,2.7042,-0.92194,28
0.38428,2.861,-0.90077,29
0.43124,3.2106,-0.9289,28
0.45769,3.4075,-0.90006,28
0.52824,3.9328,-0.94022,24
0.17811,1.2952,-0.77534,36
0.19075,1.3871,-0.78668,19
0.19968,1.452,-0.77932,24
0.21767,1.5829,-0.80255,18
0.23987,1.7443,-0.83342,31
0.26136,1.9006,-0.85415,23
0.2846,2.0696,-0.8726,24
0.3137,2.2812,-0.89916,24
0.34335,2.4968,-0.9173,21
0.37248,2.7086,-0.92386,28
0.40237,2.926,-0.92162,25
0.44342,3.2245,-0.93331,33
0.47841,3.4789,-0.9193,21
0.53794,3.9119,-0.93561,22
0.18271,1.305,-0.78146,36
0.19559,1.397,-0.79256,21
0.20274,1.448,-0.77744,24
0.22352,1.5965,-0.80973,20
0.24438,1.7455,-0.83427,31
0.26397,1.8854,-0.84764,19
0.29094,2.078,-0.87645,22
0.32238,2.3026,-0.90789,21
0.34814,2.4866,-0.91388,24
0.37989,2.7134,-0.92578,30
0.40476,2.891,-0.9109,33
0.45236,3.231,-0.93551,30
0.4853,3.4662,-0.91626,29
0.54696,3.9067,-0.93469,24
0.18607,1.2993,-0.7784,36
0.20269,1.4153,-0.80334,22
0.20979,1.4649,-0.78683,23
0.22777,1.5905,-0.80703,23
0.25115,1.7537,-0.83855,30
0.26912,1.8792,-0.8452,17
0.30035,2.0972,-0.88493,24
0.33119,2.3126,-0.91226,24
0.35515,2.4799,-0.91183,24
0.38653,2.699,-0.9213,28
0.4133,2.8859,-0.90971,29
0.46088,3.2182,-0.93221,28
0.49454,3.4532,-0.91322,29
0.56227,3.9261,-0.93976,24
0.19045,1.3039,-0.78146,36
0.20664,1.4148,-0.80334,22
0.21362,1.4625,-0.7859,23
0.22731,1.5562,-0.78998,23
0.25656,1.7565,-0.84026,22
0.2778,1.9019,-0.85577,23
0.3022,2.069,-0.87337,22
0.33819,2.3154,-0.91371,25
0.35855,2.4547,-0.90293,27
0.39352,2.6942,-0.92002,24
0.42218,2.8904,-0.9115,33
0.47375,3.2435,-0.93992,30
0.51676,3.538,-0.93602,23
0.57829,3.9592,-0.94806,22
0.19662,1.3203,-0.79166,31
0.20854,1.4004,-0.7955,21
0.21692,1.4567,-0.78308,23
0.22928,1.5397,-0.7819,22
0.25987,1.7451,-0.83513,26
0.28042,1.8831,-0.84764,32
0.3058,2.0535,-0.8672,21
0.34438,2.3126,-0.91298,25
0.36485,2.45,-0.90157,27
0.39825,2.6743,-0.91361,27
0.43391,2.9138,-0.91924,29
0.48366,3.2479,-0.94158,33
0.52151,3.5021,-0.9269,25
0.58791,3.948,-0.94575,21
0.20286,1.3351,-0.80085,27
0.21453,1.4118,-0.80236,22
0.22337,1.47,-0.79059,22
0.23788,1.5655,-0.79536,17
0.2645,1.7407,-0.83342,31
0.286,1.8822,-0.84764,26
0.31189,2.0526,-0.8672,24
0.3504,2.306,-0.9108,24
0.37494,2.4675,-0.90841,24
0.40789,2.6844,-0.91746,24
0.44226,2.9106,-0.91865,23
0.48578,3.197,-0.92724,38
0.53306,3.5082,-0.92893,25
0.59904,3.9423,-0.94483,22
0.20653,1.331,-0.79881,36
0.21843,1.4077,-0.8004,23
0.22988,1.4815,-0.79716,23
0.24444,1.5753,-0.80075,19
0.27025,1.7417,-0.83427,31
0.29584,1.9066,-0.85903,23
0.32258,2.079,-0.87876,19
0.35621,2.2957,-0.90717,23
0.38269,2.4663,-0.90841,27
0.41225,2.6569,-0.90849,22
0.45668,2.9431,-0.92937,27
0.50703,3.2676,-0.94819,28
0.54794,3.5313,-0.93551,23
0.60933,3.927,-0.9416,21
0.2084,1.3203,-0.79268,40
0.22211,1.4071,-0.8004,23
0.23651,1.4984,-0.80655,26
0.24996,1.5835,-0.80524,22
0.27368,1.7338,-0.83085,31
0.29542,1.8715,-0.84357,28
0.32918,2.0854,-0.88185,20
0.35728,2.2635,-0.8948,26
0.39178,2.482,-0.91456,24
0.42009,2.6614,-0.91041,22
0.46557,2.9495,-0.93175,35
0.51768,3.2796,-0.95205,26
0.55386,3.5089,-0.92994,28
0.6099,3.8639,-0.92685,39
0.21205,1.318,-0.79166,40
0.22573,1.403,-0.79844,23
0.24096,1.4976,-0.80655,26
0.2555,1.5881,-0.80793,21
0.27768,1.7259,-0.82743,28
0.30213,1.8779,-0.84683,26
0.33067,2.0553,-0.86951,22
0.36252,2.2532,-0.89116,28
